0050, clackercart
0E61, piano bench
0E63, plain sink
0E64, coconut juice
0E65, sari
0E66, adventure dress
0E67, guayabera shirt
0E68, TopsTexTopCoatLPcoat0 (UNUSED)
0E69, sauna heater
0E6A, collarless shirt
0E6C, plain wooden shop sign
0E6E, heavy-duty shirt
0E70, TopsTexOnepieceAlongLBustier0 (UNUSED)
0E71, portable radio
0E72, bowling shirt
0E73, fish print
0E74, V-neck sweater
0E75, writing desk
0E76, writing chair
0E77, fairy dress
0E78, kimono sandals
0E79, boa fleece
0E7A, tweed jacket
0E7B, suspender outfit
0E7C, tweed pants
0E7D, white windflowers
0E7E, white-windflower bag
0E7F, white-windflower stems
0E80, white-windflower buds
0E81, orange windflowers
0E82, orange-windflower bag
0E83, orange-windflower stems
0E84, orange-windflower buds
0E85, blue windflowers
0E86, blue-windflower stems
0E87, blue-windflower buds
0E88, pink windflowers
0E89, pink-windflower stems
0E8A, pink-windflower buds
0E8B, red windflowers
0E8C, red-windflower bag
0E8D, red-windflower stems
0E8E, red-windflower buds
0E8F, purple windflowers
0E90, purple-windflower stems
0E91, purple-windflower buds
0E92, white hyacinths
0E93, white-hyacinth bag
0E94, white-hyacinth stems
0E95, white-hyacinth buds
0E96, yellow hyacinths
0E97, yellow-hyacinth bag
0E98, yellow-hyacinth stems
0E99, yellow-hyacinth buds
0E9A, pink hyacinths
0E9B, pink-hyacinth stems
0E9C, pink-hyacinth buds
0E9D, orange hyacinths
0E9E, orange-hyacinth stems
0E9F, orange-hyacinth buds
0EA0, red hyacinths
0EA1, red-hyacinth bag
0EA2, red-hyacinth stems
0EA3, red-hyacinth buds
0EA4, blue hyacinths
0EA5, blue-hyacinth stems
0EA6, blue-hyacinth buds
0EA7, purple hyacinths
0EA8, purple-hyacinth stems
0EA9, purple-hyacinth buds
0EAA, white mums
0EAB, white-mum bag
0EAC, white-mum stems
0EAD, white-mum buds
0EAE, yellow mums
0EAF, yellow-mum bag
0EB0, yellow-mum stems
0EB1, yellow-mum buds
0EB2, purple mums
0EB3, purple-mum stems
0EB4, purple-mum buds
0EB5, pink mums
0EB6, pink-mum stems
0EB7, pink-mum buds
0EB8, red mums
0EB9, red-mum bag
0EBA, red-mum stems
0EBB, red-mum buds
0EBC, golden candlestick
0EBD, terrarium
0EBE, Libra scale
0EBF, hanging terrarium
0EC0, brick well
0EC2, green-mum stems
0EC3, green-mum buds
0EC7, den desk
0EC8, den chair
0EC9, potted ivy
0EDA, pine bonsai tree
0EDC, TopsTexTopTshirtsLLayeredtshirts0 (UNUSED)
0EDD, mush parasol
0EDE, mush partition
0EE0, mush log
0EE2, golden dishes
0EE3, lacy shirt
0EE8, streetlamp
0EE9, spider web
0EEA, pennant
0EEB, oil-barrel bathtub
0EEC, fan
0EED, air circulator
0EEE, pro tape recorder
0EEF, red-cosmos sprouts
0EF0, red-cosmos plant
0EF1, white-cosmos sprouts
0EF2, white-cosmos plant
0EF3, yellow-cosmos sprouts
0EF4, yellow-cosmos plant
0EF6, pink-cosmos plant
0EF8, orange-cosmos plant
0EFA, black-cosmos plant
0EFB, white-tulip sprouts
0EFC, white-tulip plant
0EFD, red-tulip sprouts
0EFE, red-tulip plant
0EFF, yellow-tulip sprouts
0F00, yellow-tulip plant
0F02, pink-tulip plant
0F04, orange-tulip plant
0F06, purple-tulip plant
0F08, black-tulip plant
0F09, white-pansy sprouts
0F0A, white-pansy plant
0F0B, red-pansy sprouts
0F0C, red-pansy plant
0F0D, yellow-pansy sprouts
0F0E, yellow-pansy plant
0F10, orange-pansy plant
0F12, purple-pansy plant
0F14, blue-pansy plant
0F15, white-rose sprouts
0F16, white-rose plant
0F17, red-rose sprouts
0F18, red-rose plant
0F19, yellow-rose sprouts
0F1A, yellow-rose plant
0F1C, pink-rose plant
0F1E, orange-rose plant
0F20, purple-rose plant
0F22, black-rose plant
0F24, blue-rose plant
0F26, gold-rose plant
0F2D, white-lily sprouts
0F2E, white-lily plant
0F2F, red-lily sprouts
0F30, red-lily plant
0F31, yellow-lily sprouts
0F32, yellow-lily plant
0F34, pink-lily plant
0F36, orange-lily plant
0F38, black-lily plant
0F39, white-windflower sprouts
0F3A, white-windflower plant
0F3B, orange-windflower sprouts
0F3C, orange-windflower plant
0F3E, blue-windflower plant
0F40, pink-windflower plant
0F41, red-windflower sprouts
0F42, red-windflower plant
0F44, purple-windflower plant
0F45, white-hyacinth sprouts
0F46, white-hyacinth plant
0F47, yellow-hyacinth sprouts
0F48, yellow-hyacinth plant
0F4A, pink-hyacinth plant
0F4C, orange-hyacinth plant
0F4D, red-hyacinth sprouts
0F4E, red-hyacinth plant
0F50, blue-hyacinth plant
0F52, purple-hyacinth plant
0F53, white-mum sprouts
0F54, white-mum plant
0F55, yellow-mum sprouts
0F56, yellow-mum plant
0F58, purple-mum plant
0F5A, pink-mum plant
0F5B, red-mum sprouts
0F5C, red-mum plant
0F5E, green-mum plant
0F63, chesterfield coat
0F65, checkered chesterfield coat
0F67, ironwood DIY workbench
0F6A, outdoor table
0F6B, outdoor bench
0F6C, accessories stand
0F6D, anthurium plant
0F6E, antique chair
0F6F, antique console table
0F70, antique table
0F71, antique phone
0F72, antique clock
0F73, antique vanity
0F74, antique bureau
0F75, antique bed
0F76, antique mini table
0F77, antique wardrobe
0F78, handy water cooler
0F79, fortune-telling set
0F7A, inflatable sofa
0F7B, film projector
0F7D, painting set
0F7E, big festive tree
0F7F, broom and dustpan
0F80, homework set
0F81, toy centipede
0F82, imperial decorative shelves
0F83, imperial partition
0F84, imperial chest
0F85, imperial bed
0F86, imperial low table
0F87, orange end table
0F88, orange wall-mounted clock
0F89, shell arch
0F8A, shell partition
0F8B, shell stool
0F8C, shell table
0F8E, shell fountain
0F8F, shell bed
0F90, shell lamp
0F92, wall-mounted TV (20 in.)
0F93, wall-mounted phone
0F97, festive tree
0F98, key holder
0F99, analog kitchen scale
0F9B, cute DIY table
0F9C, cute wall-mounted clock
0F9D, cute wardrobe
0F9E, cute sofa
0F9F, cute chair
0FA0, cute tea table
0FA1, cute vanity
0FA2, cute floor lamp
0FA3, cute music player
0FA6, climbing wall
0FA8, kettle bathtub
0FA9, cordless phone
0FAB, cherry speakers
0FAC, cherry lamp
0FAD, punching bag
0FAE, folding floor lamp
0FAF, shower booth
0FB0, lab-experiments set
0FB1, shower set
0FB3, stand mixer
0FB7, pants press
0FB9, unglazed dish set
0FBA, utility sink
0FBB, floral swag
0FBC, retro radiator
0FBD, rotary phone
0FBE, bathroom towel rack
0FC1, traditional tea set
0FC2, scattered papers
0FC3, log garden lounge
0FC4, log decorative shelves
0FC5, log wall-mounted clock
0FC6, log stool
0FC7, log sofa
0FC8, log dining table
0FC9, log bed
0FCA, log bench
0FCB, log round table
0FCC, log extra-long sofa
0FCD, rattan waste bin
0FCE, rattan end table
0FCF, rattan stool
0FD0, rattan towel basket
0FD1, rattan wardrobe
0FD2, rattan table lamp
0FD3, rattan vanity
0FD4, rattan bed
0FD5, rattan armchair
0FD6, rattan low table
0FE2, illuminated tree
0FE3, tabletop festive tree
0FE4, table setting
0FE5, table lamp
0FE6, street organ
0FE7, electronics kit
0FE8, toilet-cleaning set
0FE9, classic pitcher
0FEA, illuminated reindeer
0FEB, gong
0FEC, nail-art set
0FED, party garland
0FEE, barbell
0FF0, long bathtub
0FF1, camping cot
0FFD, bamboo drum
0FFE, floating-biotope planter
1002, bidet
1003, formal paper
1004, fire pit
1005, fax machine
1006, poolside bed
1008, frying pan
1009, plasma ball
100A, pendulum clock
100B, infused-water dispenser
100C, illuminated present
100D, double-door refrigerator
100E, essay set
100F, old-fashioned alarm clock
1011, hose reel
1012, tissue box
1014, whiteboard
1015, wood-burning stove
1016, magnetic knife rack
1017, macrame tapestry
1019, marimba
101A, cartoonist's set
101B, mini-cactus set
101C, wooden fish
101D, wooden bookshelf
101F, peach chair
1020, peach surprise box
1021, monstera
1022, coconut wall planter
1023, illuminated snowflakes
1024, yucca
1025, double-sided wall clock
1026, apple chair
1027, freezer
1029, diner chair
102A, diner counter chair
102B, diner counter table
102C, retro gas pump
102D, diner sofa
102E, diner dining table
102F, diner neon sign
1030, diner neon clock
1031, TopsTexTopTshirtsLBorder1 (UNUSED)
1032, TopsTexTopTshirtsLBorder2 (UNUSED)
1033, TopsTexTopTshirtsLBorder3 (UNUSED)
1034, TopsTexTopTshirtsLBorder4 (UNUSED)
1035, TopsTexTopTshirtsLBorder5 (UNUSED)
1036, BottomsTexPantsHalfCargo0 (UNUSED)
1037, TopsTexTopOuterLKnit2 (UNUSED)
103A, oversized shawl overshirt
103B, TopsTexTopYshirtsLMountain1 (UNUSED)
103C, TopsTexTopYshirtsLMountain2 (UNUSED)
103D, TopsTexTopYshirtsLMountain3 (UNUSED)
103E, TopsTexOnepieceRibLKnit1 (UNUSED)
103F, TopsTexOnepieceRibLKnit2 (UNUSED)
1040, TopsTexOnepieceRibLParka1 (UNUSED)
1041, TopsTexOnepieceRibLParka2 (UNUSED)
1042, TopsTexOnepieceRibLParka3 (UNUSED)
1043, TopsTexOnepieceRibLParka4 (UNUSED)
1044, TopsTexOnepieceBoxHJumperskirt1 (UNUSED)
1045, TopsTexOnepieceBoxHJumperskirt2 (UNUSED)
1046, TopsTexOnepieceBoxHJumperskirt3 (UNUSED)
1047, TopsTexOnepieceBoxHLayercamisoleBeige (UNUSED)
1048, TopsTexOnepieceBoxHLayercamisoleBlue (UNUSED)
1049, TopsTexOnepieceBoxHLayercamisoleBrown (UNUSED)
104B, sprite costume
104C, TopsTexTopCoatLDuffleRed (UNUSED)
104D, TopsTexTopCoatLDuffleBeige (UNUSED)
104E, TopsTexTopCoatLDuffleGray (UNUSED)
104F, BottomsTexPantsNormalChino1 (UNUSED)
1050, BottomsTexPantsNormalChino2 (UNUSED)
1051, BottomsTexPantsNormalChino3 (UNUSED)
1052, BottomsTexPantsNormalChino4 (UNUSED)
1057, two-tone pants
1058, BottomsTexPantsNormalTwotoneRed (UNUSED)
1059, BottomsTexPantsNormalTwotoneBlue (UNUSED)
105A, BottomsTexPantsNormalDenim1 (UNUSED)
105B, BottomsTexPantsNormalDenim2 (UNUSED)
105C, BottomsTexPantsNormalDenim3 (UNUSED)
105D, sturgeon
105E, tilapia
105F, betta
1060, snapping turtle
1061, golden trout
1062, rainbowfish
1063, BottomsTexPantsHotRunning0 (UNUSED)
1066, young-royal shirt
1068, ToolGuiterTkk (UNUSED)
1069, anchovy
106A, mahi-mahi
106B, suckerfish
106C, barreleye
106D, fitness tank
106F, flight jacket
1073, tie-dye shirt
1074, TopsTexTopYshirtsLBoavest0 (UNUSED)
107A, BottomsTexSkirtBoxSza00 (UNUSED)
107C, quilted down jacket
107D, NpcSpShoesSzaPumps (UNUSED)
107E, long pleated skirt
107F, tennis skirt
1082, basketball hoop
1084, FtrMydesignEasel (UNUSED)
1085, FtrMydesignEaselWall (UNUSED)
1086, glass holder with candle
108B, rimmed glasses
108C, AccessoryGlassSquare0 (UNUSED)
108D, heart shades
108E, browline glasses
108F, octagonal glasses
1090, star shades
1091, round shades
1092, triangle shades
1095, delivery box
1096, denim skirt
1097, peasant blouse
1098, nightgown
1099, judogi
109B, worn-out cutoffs
109C, long polka skirt
109D, tube top
109E, hickory-stripe pants
109F, chain pants
10A0, down pants
10A1, long chino skirt
10A4, BottomsTexPantsNormalRco00 (UNUSED)
10A6, striped dress
10A7, double-bridge glasses
10A9, linen dress
10AA, down skirt
10AB, muscle tank
10AD, green-leaf pile
10AE, yellow-leaf pile
10AF, red-leaf pile
10B1, wizard's robe
10B2, denim cutoffs
10B3, TopsTexTopTshirtsHBorder0 (UNUSED)
10B5, TopsTexTopOuterLDownvest0 (UNUSED)
10B6, TopsTexTopOuterLRco00 (UNUSED)
10B7, frozen-treat set
10BA, glass-bottle glasses
10BB, sporty skirt
10BD, nylon jacket
10BE, gown coat
10BF, TopsTexOnepieceAlinemydesignHCollar (UNUSED)
10C0, TopsTexTopYshirtsmydesignLShirt (UNUSED)
10C1, plover cardigan
10C2, striped halter dress
10C3, pocket tee
10C4, miko attire
10C5, cosmos wreath
10C8, corduroy skirt
10CB, gaucho pants
10CC, retro sleeveless dress
10CE, TopsTexTopYshirtsLSlimknit0 (UNUSED)
10CF, pleather skirt
10D2, college cardigan
10D3, fringe skirt
10D4, unfinished puzzle
10D5, destinations signpost
10D6, bridge marker kit
10D7, incline marker kit
10D8, Animal City
10D9, Farewell
10DA, Drivin'
10DB, はずれ01
10DC, はずれ02
10DD, はずれ03
10DE, Welcome Horizons
10DF, hakama
10E0, front-tie tee
10E4, full-body tights
10E6, denim painter's pants
10E7, gold-print tee
10E8, fishing waders
10E9, silk floral-print pants
10EA, silk pants
10EB, kung-fu pants
10EC, magical dress
10ED, grass skirt
10EE, bolero coat
10F0, office uniform
10F1, shattered glasses
10F2, portable record player
10F4, text shirt
10F5, full-length dress with pearls
10F6, TopsTexOnepieceKimonoLKinagashi0 (UNUSED)
10F7, hawk jacket
10F8, frugal dress
10F9, frugal outfit
10FB, chic tuxedo dress
10FD, corral fence
10FE, country fence
1100, rope fence
1102, imperial fence
1104, straw fence
1105, iron fence
1106, spiky fence
1107, fleece pj's
1108, long pleather coat
1109, TopsTexOnepieceBoxNBathtowel0 (UNUSED)
110B, business suitcoat
110C, bell-bottoms
110D, school jacket
110E, after-school jacket
1110, poncho coat
1111, frilly pants
1112, yacht shorts
1113, multicolor shorts
1114, formal shorts
1115, leopard miniskirt
1116, long plaid skirt
1117, snowflake wreath
1118, shell wreath
1119, ornament wreath
111A, fruit wreath
111B, springy ride-on
111D, football
111F, ToolBagWhite (UNUSED)
1120, ToolBroomBamboo (UNUSED)
1124, ToolCupCoffee (UNUSED)
1126, ToolIcecandySoda (UNUSED)
1128, magic kit
1129, old-fashioned washtub
112B, vampire costume
112C, loose fall dress
112E, noble pants
112F, plaid-print dress
1131, bomber-style jacket
1132, camo bomber-style jacket
1133, frilly dress
1135, BottomsTexPantsHalfAloha0 (UNUSED)
1136, dollhouse dress
1137, sea hanten shirt
1138, BottomsTexPantsNormalCropped0 (UNUSED)
1139, Bohemian tunic dress
113A, frilly skirt
113B, tailors construction kit
113C, cotton-candy stall
1141, faux-hair sweater
1142, space parka
1143, baseball shirt
1144, parka undercoat
1145, workout top
1146, mod parka
1147, tee-parka combo
1148, oversized-sweats dress
1149, eye mask
114A, money tree
114C, tweed frilly skirt
114D, heart apron
114E, BottomsTexPantsWideEasy0 (UNUSED)
114F, sheep costume
1150, sunflower dress
1151, prince's tunic
1152, camo skirt
1153, safety vest
1154, nursery money tree
1155, small young money tree
1156, medium young money tree
1157, large young money tree
1158, tailcoat
1159, diner mini table
115B, alpinist overalls
115C, BottomsTexPantsHotCulotte0 (UNUSED)
115D, vintage TV tray
115E, folk shirt
115F, football shirt
1160, skiwear
1161, star costume
1162, ski pants
1163, doctor's mask
1164, post-op patch
1165, ski goggles
1166, goggles
1168, retro shades
1169, eye patch
116A, sporty shades
116B, pilot shades
116C, tortoise specs
116D, tiny shades
116E, monocle
116F, 3D glasses
1170, ladder shades
1171, animal-print coat
1172, layered sleeveless dress
1173, tiger-face tee dress
1174, parka and shirtdress
1175, TopsTexTopCoatLRetro0 (UNUSED)
1176, baby romper
1177, tight punk outfit
1178, outdoor shorts
117B, superhero uniform
117C, BottomsTexSkirtBoxSza01 (UNUSED)
1180, present
1183, cat nose
1184, china poblana
1185, punk pants
1186, hula top
1187, vibrant shorts
1188, groovy tunic
1189, shawl-and-dress combo
118A, BottomsTexPantsWideKnee0 (UNUSED)
118B, cucumber pack
1190, fake nose
1195, stache & glasses
1196, tiered skirt
1197, TopsTexTopYshirtsLCareer0 (UNUSED)
1198, BottomsTexSkirtBoxCareer0 (UNUSED)
1199, BottomsTexSkirtLongDrape0 (UNUSED)
119A, pintuck-pleated dress
119B, TopsTexTopYshirtsLChimayo0 (UNUSED)
119E, birthday shades
11A0, facial mask
11A1, funny glasses
11A2, cycling shorts
11A3, BottomsTexPantsHalfSurf0 (UNUSED)
11A5, lace shorts
11A6, athletic shorts
11A7, kurta
11A8, maxi shirtdress
11A9, pullover jacket
11AA, muay-thai shorts
11AB, dotted shorts
11AC, tweed vest
11C1, belted wraparound skirt
11C2, pear bed
11C3, embroidered floral skirt
11C4, embroidered-pattern skirt
11C5, fish bait
11C8, cyber shades
11C9, checkered muffler
11CB, long denim cardigan
11CC, oversized print dress
11CD, retro A-line dress
11CE, hip-wrap shirt
11CF, TopsTexOnepieceBoxHTshirts0 (UNUSED)
11D0, sparkly embroidered tank
11D3, visual-punk outfit
11D5, pleather trench coat
11D6, reindeer sweater
11D7, front-tie button-down shirt
11DA, floral lace dress
11DC, shaded floor lamp
11DE, top coat
11DF, retro sweater
11E0, cowboy shirt
11E1, caterpillar costume
11E2, sweetheart tank and shirt
11E3, house-print dress
11E8, forest-print dress
11EA, rugby uniform
11EC, iron armor
11ED, TopsTexOnepieceAlongLDowncoat0 (UNUSED)
11EE, gold armor
11F1, BottomsTexPantsWideSatin0 (UNUSED)
11F2, peacoat-and-skirt combo
11F3, rainbow sweater
11F4, casual chic dress
11F5, bottom-rimmed glasses
11F6, boa blouson
11F7, sleeveless tunic
11F8, bunny nose
11F9, coatigan
11FA, BottomsTexPantsWideCorduroy0 (UNUSED)
11FB, folk-dance outfit
11FC, boa parka
11FD, patchwork coat
11FE, balmacaan coat
11FF, round tinted shades
1200, butterfly shades
1201, oval glasses
1202, earbuds combo
1203, TopsTexOnepieceOverallHArabia0 (UNUSED)
1204, floral lace skirt
1205, colorful striped sweater
1206, flare skirt
1207, madras plaid shirt
1208, zigzag-print dress
1209, shorts outfit
1222, What was this again?
1223, What was this again?
1225, delivery
1226, pixel shades
1227, pig nose
1228, icy dress
1229, gas mask
122A, cold-country dress
122B, anomalocaris
122C, sticky rice
122D, mariachi clothing
122F, TopsTexOnepieceBoxLMarble0 (UNUSED)
1231, shell dress
1232, right megalo side
1233, left megalo side
1234, dunkleosteus
1235, poncho-style sweater
1236, myllokunmingia
1237, eusthenopteron
1238, acanthostega
1239, juramaia
123B, masquerade mask
123C, TopsTexTopCoatNTanktunic0 (UNUSED)
123D, wooden-frame glasses
123F, privacy mask
1240, curly mustache
1241, sports tank
1242, long chenille cardigan
1243, TopsTexTopYshirtsNRibnoncami0 (UNUSED)
1244, goatee
1245, bandage
1246, jester's mask
1247, rounded beard
1248, printed fleece sweater
1249, detective's coat
124A, leaf
124B, AccessoryGlassRhinestone0 (UNUSED)
124C, superhero mask
124D, steampunk glasses
124E, sweet dress
124F, toolbox
1250, brachio skull
1251, brachio chest
1252, brachio pelvis
1253, brachio tail
1259, quetzal torso
125A, right quetzal wing
125B, left quetzal wing
125E, Wisp spirit piece
125F, vaulting pole
1264, mush low stool
1266, baggy shirt
1267, impish costume
126A, shower sandals
126B, open-collar shirt
126C, pleather sneakers
126D, meme shirt
126E, back-bow socks
126F, celebratory candles
1271, faux-shearling boots
1272, monster statue
1273, vinyl round-toed pumps
1274, loafers
1275, cross-belt sandals
1276, mushroom wreath
1277, tree branch wreath
1278, quilted jacket
1279, striped maxi dress
127A, business shoes
127B, checkered jumper dress
127C, velour boots
127D, rain boots
127E, zori
127F, down ski jacket
1281, lacy dress
1282, skull doorplate
1283, school hat
1284, clover dress
1285, SocksTexSneakerin0 (UNUSED)
1286, Aran-knit socks
1287, sequin leggings
1288, stretch leggings
1289, SocksTexDenimleggings0 (UNUSED)
128A, tube socks
128B, garter socks
128C, nordic socks
128D, tabi
128F, bone doorplate
1290, iron doorplate
1291, throwback wrestling figure
1292, throwback gothic mirror
1294, throwback wall clock
1295, throwback skull radio
1296, throwback mitt chair
1297, throwback race-car bed
1298, throwback hat table
1299, throwback rocket
129A, throwback container
129B, throwback dino screen
129C, fish doorplate
129D, worker's jacket
129E, pom-pom sweater
12B7, elegant dress
12B8, humble sweater
12B9, anorak jacket
12BA, FtrFacilityMarket01Chair (UNUSED)
12BB, common wall
12BD, basement flooring
12BE, multipurpose vest
12BF, New Year's hat
12C0, birthday hat
12C1, steel-frame wall
12C2, pink painted-wood wall
12C3, white painted-wood wall
12C4, brown herringbone wall
12C5, chocolate herringbone wall
12C6, brown hallway wall
12C7, chocolate hallway wall
12C8, yellow-paint wall
12C9, orange-paint wall
12CB, blue-paint wall
12CC, green-paint wall
12CD, rustic-stone wall
12CE, blue-crown wall
12CF, black-crown wall
12D0, pink-crown wall
12D1, beige art-deco wall
12D2, red art-deco wall
12D3, screen wall
12D4, gold-screen wall
12D5, circuit-board wall
12D9, shutter wall
12DA, white botanical-tile wall
12DB, brown botanical-tile wall
12DC, chic wall
12DE, lattice wall
12DF, beige blossoming wall
12E0, wavy-tile wall
12E1, bamboo wall
12E2, beige desert-tile wall
12E3, blue desert-tile wall
12E4, bamboo-screen wall
12E5, classic-library wall
12E6, manga-library wall
12E7, bank-vault wall
12E8, cabin wall
12E9, crepe-design wall
12EB, construction-site wall
12EC, stacked-wood wall
12ED, rammed-earth wall
12EE, groovy wall
